,gross_return,turnover,transaction_cost,net_return,n_longs,n_shorts,gross_exposure
2023-10-12,0.0017807575617026475,0.06333809844683036,6.333809844683035e-05,0.0017174194632558171,1,2,0.19898101867688034
2023-10-13,0.000734406909295719,0.060222558741436796,6.02225587414368e-05,0.0006741843505542822,1,2,0.28663044472005245
2023-10-16,0.0026747252722001576,0.05154612307644392,5.154612307644392e-05,0.0026231791491237136,1,3,0.28118950538113957
2023-10-17,-0.00021848873892330717,0.06591123011607038,6.591123011607038e-05,-0.00028439996903937756,1,2,0.1493670451489988
2023-10-18,0.001267830370023118,0.03273679435111505,3.273679435111506e-05,0.001235093575672003,1,2,0.13272797120302585
2023-10-19,-0.000133554940408364,0.0404866707189306,4.0486670718930596e-05,-0.0001740416111272946,2,3,0.1271520035756556
2023-10-20,0.0002891353389842986,0.05949083573900561,5.9490835739005617e-05,0.00022964450324529297,2,2,0.024421999598712146
2023-10-23,0.0,0.012210999799356073,1.2210999799356073e-05,-1.2210999799356073e-05,0,0,0.0
2023-10-24,0.0,0.0,0.0,0.0,0,0,0.0
2023-10-25,-0.0001814292927199855,0.012739439315199757,1.2739439315199757e-05,-0.00019416873203518525,2,2,0.025478878630399514
2023-10-26,0.001098198343107279,0.0310721591451966,3.10721591451966e-05,0.0010671261839620824,2,1,0.07633787634370658
2023-10-27,0.00011940953996101978,0.03596933589998136,3.596933589998136e-05,8.344020406103841e-05,2,2,0.03800002470968324
2023-10-30,-8.584204045263894e-05,0.02749962493947832,2.749962493947832e-05,-0.00011334166539211726,2,2,0.025623616806696378
2023-10-31,-0.0003005101618978201,0.010387004751624962,1.0387004751624962e-05,-0.0003108971666494451,2,2,0.025696286085352637
2023-11-01,0.00112037706784982,0.03393436318152375,3.393436318152375e-05,0.0010864427046682963,2,2,0.08839968674621355
2023-11-02,-0.0017558738727148403,0.05281615663529509,5.281615663529509e-05,-0.0018086900293501353,2,2,0.19403200001680376
2023-11-03,0.0002142223264152192,0.06,6e-05,0.0001542223264152192,2,3,0.26572170170693854
2023-11-06,0.00031358630520471223,0.11337817227698455,0.00011337817227698455,0.0002002081329277277,2,2,0.4434386545226796
